"ID" "block" "cond" "N" "accuracy" "sd" "se" "ci"
"1" 1 1 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"2" 1 2 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"3" 1 3 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"4" 1 4 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"5" 1 5 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"6" 1 6 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"7" 1 7 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"8" 1 8 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"9" 1 9 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"10" 1 10 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"11" 1 11 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"12" 1 12 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"13" 1 13 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"14" 1 14 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"15" 1 15 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"16" 2 1 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"17" 2 2 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"18" 2 3 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"19" 2 4 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"20" 2 5 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"21" 2 6 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"22" 2 7 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"23" 2 8 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"24" 2 9 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
